filename,start_time_s,end_time_s,chroma_mean,chroma_std,mfccs_mean,mfccs_std,cluster
scott.wav,281.0311111,311.1125624,0.29835498,0.31844848,-13.054826,119.973305,0
Voice 104.wav,204.6258503,237.4240363,0.37143666,0.30976522,-13.154991,115.74639,0
20170310_114307.wav,0,20.1200907,0.35298145,0.31117085,-17.914867,118.459984,0
Voice 147.wav,4.226031746,41.18058957,0.3541787,0.31886393,-13.267357,119.64705,0
Voice 146.wav,365.6446259,431.1713379,0.31409055,0.31828725,-16.816547,124.09558,0
20170326_153235.wav,273.8097052,478.9580045,0.3669976,0.32077152,-21.701536,120.57612,0
20180310_194124.wav,7.151746032,7.674195011,0.34614646,0.3197037,-15.275675,122.13546,0
Voice 012.wav,95.39918367,98.64997732,0.31195402,0.32221773,-15.340521,125.867294,0
20180526_094830.wav,520.4636735,527.7082993,0.34901464,0.32103643,-12.533094,109.111275,0
Voice 146.wav,534.035737,707.3726984,0.35808876,0.31930602,-13.123502,116.84589,0
voboner sxuffed demo.wav,130.1362358,141.2585941,0.34810412,0.3207734,-9.337454,111.990486,0
Voice 132.wav,3.355283447,4.005442177,0.34067196,0.32644257,-14.390311,113.27402,0
Voice 132.wav,4.005442177,5.154829932,0.32861653,0.32464147,-13.541366,105.13157,0
20170310_114307.wav,88.9324263,106.3241723,0.31655583,0.31242907,-13.960682,116.783646,0
scott-1.wav,63.75038549,87.53922902,0.32411632,0.3219335,-11.913666,120.85601,0
Voice 134.wav,11.49387755,13.57206349,0.29419288,0.3191465,-14.824143,111.80063,0
Voice 009.wav,44.11791383,48.06530612,0.3361153,0.32536405,-14.099332,111.62045,0
20180708_145626.wav,16.50938776,27.02802721,0.36818406,0.31388232,-17.245558,124.12021,0
må din väg.wav,657.1247166,766.6184127,0.34187657,0.30884394,-15.661772,111.17775,0
Voice 049.wav,51.33931973,81.83873016,0.31993914,0.31557822,-13.198733,112.94192,0
20170321_135518.wav,196.6730159,292.6178685,0.32555035,0.31375894,-16.345781,118.50043,0
intro ingrid.wav,36.76879819,40.30984127,0.29795548,0.3188354,-15.710659,110.29985,0
20180412_145032.wav,2181.398639,2907.022222,0.3623434,0.31536582,-15.8095,122.63919,0
nanz bars.wav,18.01868481,21.49006803,0.35379586,0.3209887,-22.249523,109.729935,0
Voice 089.wav,76.75356009,121.2778231,0.33232307,0.32160336,-12.752563,119.23223,0
20180416_092354.wav,78.9014059,138.3560998,0.35475382,0.3180336,-12.932638,122.3807,0
Voice 098.wav,102.5973696,135.5000454,0.3366435,0.31218362,-12.743604,114.21306,0
20180616_215018.wav,117.1562812,119.7336961,0.3597907,0.32090023,-14.792999,112.25214,0
nuuuuuuuig.wav,0,15.09297052,0.37121728,0.31785187,-14.189552,113.22026,0
